"Order Number ","Reason"," Cancelled By ","Note"," Subtotal Price"," Shipping Cost"," Total Price ","Cancelled Date","Order Date"
"Lvs38518","REPEATED_ORDER","Samar Hamdy","العميله طلبت الغاء الاوردر","2164.8","50","2214.8","2024-12-03 15:09:35","2024-11-27 16:36:57"
"Lvs39737","CUSTOMER_REQUEST","Nermin ","ملغي برغبتها لانها عاملة اوردر تاني","1126.25","60","1186.25","2024-12-03 12:35:34","2024-11-29 19:12:49"
"Lvs39882","BROUGHT_FROM_STORE","Nermin ","ملغي هتشتري من الفرع","810.9","60","870.9","2024-12-03 12:20:00","2024-11-30 00:12:58"
"Lvs39878","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","357","50","407","2024-12-03 11:51:59","2024-11-30 00:12:58"
"Lvs39702","CUSTOMER_REQUEST","Nermin ","ملغي لعدم وجود رد","407.2","60","467.2","2024-12-02 15:16:55","2024-11-29 19:12:46"
"Lvs39631","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","1102.4","60","1162.4","2024-12-02 11:00:55","2024-11-29 16:37:44"
"Lvs38050","INVENTORY","Randa","تم عمل اوردر اخر","1693.2","90","1783.2","2024-12-02 10:47:35","2024-11-25 10:24:50"
"Lvs39251","OTHER","Nermin ","ملغي لعدم وجود رد","802.8","60","862.8","2024-12-02 10:01:03","2024-11-28 21:02:49"
"Lvs39669","INVENTORY","Randa","طلب العميلة بالالغاء","468","80","548","2024-12-02 09:07:01","2024-11-29 17:31:31"
"Lvs39813","INVENTORY","Nermin ","ملغي برغبة العميلة","599.2","80","679.2","2024-12-02 09:05:10","2024-11-29 22:34:34"
"Lvs39660","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","2193.6","80","2273.6","2024-12-02 09:01:40","2024-11-29 17:31:31"
"Lvs38516","ORDER_CONFIRMED_BY_MISTAKE","Nermin ","ملغي لعدم وجود القطعة","819","50","869","2024-12-01 14:36:03","2024-11-26 17:48:55"
"Lvs39634","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","832.8","50","882.8","2024-12-01 14:14:03","2024-11-29 16:37:44"
"Lvs39453","CUSTOMER_REQUEST","Samar Hamdy","العميله طلبت الغاء الاوردر","1917.6","80","1997.6","2024-12-01 13:54:28","2024-11-29 09:31:45"
"Lvs38511","INVENTORY","Nermin ","38511","1200","80","1280","2024-12-01 13:52:52","2024-11-30 16:25:58"
"Lvs38950","INVENTORY","Noor","نواقص هتشترى من الفرع","711.9","50","761.9","2024-12-01 13:28:01","2024-11-28 10:21:40"
"Lvs39126","INVENTORY","Noor","العميلة مسجلة رقم موبايل غلط  و مش بترد ميل و بتطلب اكتر من اوردر","1078.4","60","1138.4","2024-12-01 12:36:28","2024-11-28 15:07:00"
"Lvs38832","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","606.6","60","666.6","2024-12-01 12:34:34","2024-11-27 15:43:31"
"Lvs39646","CUSTOMER_REQUEST","Randa","طلب العميلة بالالغاء","442","80","522","2024-12-01 12:20:00","2024-11-29 16:37:47"
"Lvs39864","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","154.8","90","244.8","2024-12-01 12:11:46","2024-11-30 00:12:58"
"Lvs39832","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","584.1","50","634.1","2024-12-01 12:04:20","2024-11-29 22:34:34"
"Lvs39259","ORDER_CONFIRMED_BY_MISTAKE","Nermin ","ملغي مش عايزة بدايل","1368","80","1448","2024-12-01 11:55:24","2024-11-28 21:20:08"
"Lvs38955","INVENTORY","Nermin ","ملغي لعدم وجود رد","286.4","50","336.4","2024-12-01 09:12:24","2024-11-28 10:21:40"
"Lvs39597","OTHER","Mostafa","0","403.2","50","453.2","2024-11-30 18:04:10","2024-11-29 15:15:03"
"Lvs39468","CUSTOMER_REQUEST","Nermin ","ملغي برغبة العميلة","768","50","818","2024-11-30 15:24:39","2024-11-29 09:31:45"
"Lvs39483","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","907.2","60","967.2","2024-11-30 14:47:38","2024-11-29 09:31:45"
"Lvs39182","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","711.9","90","801.9","2024-11-30 14:30:07","2024-11-28 19:00:28"
"Lvs38254","CUSTOMER_REQUEST","Nermin ","ملغي لعدم وجود القطع ومش عايزة بدايل","2013.6","50","2063.6","2024-11-30 13:38:05","2024-11-26 10:19:46"
"Lvs39609","INVENTORY","Randa","طلب العميلة بالالغاء","194.4","90","284.4","2024-11-30 13:35:17","2024-11-29 15:15:04"
"Lvs38833","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","765","80","845","2024-11-30 13:22:14","2024-11-27 16:33:10"
"Lvs39559","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","408","60","468","2024-11-30 13:20:39","2024-11-29 13:25:28"
"Lvs39824","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","753.6","50","803.6","2024-11-30 12:47:19","2024-11-29 22:34:34"
"Lvs39810","CUSTOMER_REQUEST","Haimaa Gamal","طلب العميلة","716.8","50","766.8","2024-11-30 12:46:15","2024-11-29 22:34:34"
"Lvs39154","INVENTORY","Randa","طلب العميلة بالالغاء","1215","50","1265","2024-11-30 12:11:59","2024-11-28 16:50:05"
"Lvs39501","CUSTOMER_REQUEST","Nermin ","ملغي لعدم وجود القطعة","486","50","536","2024-11-30 12:04:04","2024-11-29 10:42:17"
"Lvs39428","INVENTORY","Nermin ","ملغي لعدم وجود القطعة","1701","50","1751","2024-11-30 11:59:10","2024-11-29 09:31:38"
"Lvs39586","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","1851.3","50","1901.3","2024-11-30 11:05:19","2024-11-29 14:30:30"
"Lvs39022","INVENTORY","Noor","نواقص محتاجه نفس اللى فى الاوردر","432","95","527","2024-11-30 10:37:07","2024-11-28 10:21:48"
"Lvs38693","INVENTORY","Randa","طلب العميلة بالالغاء","216","50","266","2024-11-30 09:44:30","2024-11-28 17:24:53"
"Lvs39293","INVENTORY","Randa","طلب العميلة بالالغاء","675","50","725","2024-11-30 09:17:56","2024-11-28 23:12:28"
"Lvs39286","INVENTORY","Randa","طلب العميلة بالالغاء","675","90","765","2024-11-30 09:04:28","2024-11-28 23:12:28"
