"Order Number ","Product Name"," Item SKU ","Variation ID"," Product Status ","Qty ","Variant","Product Image"," Assigned to"," Assigned at"
"43635","Plain Winter Shawl","60077071842091","31301563187492","hold","1","3","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/86_89a42da9-100f-496b-823e-ad38cd769ce3.jpg?v=1727480779","Toaa Aisem ","2024-12-18 11:48:39"
"43637","Easy Closed Wrap Scarf","10413094400296","31301597495588","hold","2","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_7d2bcfbe-9007-4e53-be1f-2d9ed53ae4b5.jpg?v=1729518163","Toaa Aisem ","2024-12-18 11:52:19"
"43649","Easy Closed Wrap Scarf","10413094400296","31301722243364","hold","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_7d2bcfbe-9007-4e53-be1f-2d9ed53ae4b5.jpg?v=1729518163","Toaa Aisem ","2024-12-18 12:15:59"
"43850","Wide Short Ribbed Pullover","10590165922900","31305557377316","hold","1","Free Size / 23","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_6f69764d-172a-4b4a-a17a-f7ea33238fe2.jpg?v=1733227281","Amira Ahmed","2024-12-19 12:10:11"
"43971","Easy Closed Wrap Scarf","10413094400296","31307415519524","hold","2","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_7d2bcfbe-9007-4e53-be1f-2d9ed53ae4b5.jpg?v=1729518163","Aya","2024-12-19 16:39:17"
"43954","Easy Closed Wrap Scarf","10413094400296","31307326161188","hold","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_7d2bcfbe-9007-4e53-be1f-2d9ed53ae4b5.jpg?v=1729518163","Toaa Aisem ","2024-12-19 16:37:00"
"44086","Workaday Shirt","17499489421700","31309235192100","hold","1","Black / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_875f634e-b104-4afe-b30b-c1780b84ee28.jpg?v=1716897627","Toaa Aisem ","2024-12-21 12:15:44"
"44088","Easy Closed Wrap Scarf","10413094400296","31309489373476","hold","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_7d2bcfbe-9007-4e53-be1f-2d9ed53ae4b5.jpg?v=1729518163","Toaa Aisem ","2024-12-21 12:32:12"
"44159","Whisper Long Tassels Shawl","60077074090217","31310668661028","hold","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_1f66a78f-d59e-4c5b-a17d-21ed03250d3f.jpg?v=1729513309","Manar Mahmoud ","2024-12-21 11:39:30"
"44165","Neat Lycra Scarf","10413081921798","31310727414052","hold","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/7_12ce3444-d836-44f9-a00d-038712b10cdb.jpg?v=1732810561","Manar Mahmoud ","2024-12-21 11:59:06"
"44198","Whisper Long Tassels Shawl","60077074090217","31311268282660","hold","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_1f66a78f-d59e-4c5b-a17d-21ed03250d3f.jpg?v=1729513309","Manar Mahmoud ","2024-12-21 12:15:35"
"44214","Whisper Short Tassels Shawl","60077074159002","31311553003812","hold","1","Beige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_e61daea4-41f3-47f1-a80d-73ba9d76b4dc.jpg?v=1729514211","Aya","2024-12-21 13:32:31"
"44221","Chemise Sleeves Basic Undershirt","10033030000130","31311788835108","hold","1","Medium / White","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_9d9112fd-76c5-41c8-ae8a-730701077171.jpg?v=1716821095","Toaa Aisem ","2024-12-21 14:31:27"
"44255","Relax Fit Pants","14590550311040","31312435085604","hold","1","Orange / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_4a8a9c82-52ab-4825-a7b1-b647b65f396f.jpg?v=1734741039","Aya","2024-12-23 10:21:21"
"44255","Relaxed Fit Shirt","14590330311040","31312435118372","hold","1","Orange / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_b69570ab-b476-4d8c-9995-cd4d572bd5b1.jpg?v=1734743278","Aya","2024-12-23 10:21:21"
"44258","Relaxed Fit Shirt","14590330300220","31312510189860","hold","1","Offwhite / S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_14974121-a774-4401-be34-778a255388e9.jpg?v=1734743278","Aya","2024-12-23 10:21:22"
"44269","Leopard Fur Double Face Jacket","68590965971900","31312617931044","hold","1","Free Size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_96dda813-0027-40e5-9b15-625e97bdceca.jpg?v=1734349431","Manar Mahmoud ","2024-12-21 17:06:15"
"44293","Runway Set","69590770223120","31312842653988","hold","1","1 / S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_5678886f-b509-4250-b5a2-86b4bd3a41d3.jpg?v=1734745014","Hader Magdy","2024-12-23 10:21:22"
"44307","Leopard Fur Double Face Jacket","68590965971900","31313016520996","hold","1","Free Size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_96dda813-0027-40e5-9b15-625e97bdceca.jpg?v=1734349431","Toaa Aisem ","2024-12-22 11:28:21"
"44311","Easy Opened Wrap Scarf","10413098600297","31313043521828","hold","3","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Toaa Aisem ","2024-12-22 11:49:10"
"44355","Easy Opened Wrap Scarf","10413098600297","31313780146468","hold","3","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Aya","2024-12-22 11:14:31"
"44356","Pockets Shirt","57499767504900","31313797775652","hold","1","Orange / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/57499767504900.jpg?v=1718030282","Aya","2024-12-22 11:29:16"
"44465","Leopard Fur Double Face Jacket","68590965971900","31315200246052","hold","1","Free Size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_96dda813-0027-40e5-9b15-625e97bdceca.jpg?v=1734349431","Toaa Aisem ","2024-12-23 12:24:55"
"44466","Easy Opened Wrap Scarf","10413098600297","31315209519396","hold","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Toaa Aisem ","2024-12-23 12:27:47"
"44498","Zebra Winter Shawl","60577170660300","31315563872548","hold","1","3","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/58_26d570c7-1277-40d4-8ae8-38bb9b852b85.jpg?v=1734876789","Aya","2024-12-23 12:24:25"
"44462","Easy Opened Wrap Scarf","10413098600297","31315170722084","hold","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Toaa Aisem ","2024-12-23 12:11:54"
"44455","Easy Opened Wrap Scarf","10413098600297","31315138150692","hold","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Toaa Aisem ","2024-12-23 11:36:11"
"44454","Easy Opened Wrap Scarf","10413098600297","31315125993764","hold","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Toaa Aisem ","2024-12-23 11:33:58"
"44452","Easy Opened Wrap Scarf","10413098600297","31315116294436","hold","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Toaa Aisem ","2024-12-23 11:22:35"
"44513","Vital Chiffon Scarf (Small Size)","10011020022043","31315793445156","shortage","1","Flamingo","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/17_42d52786-99f3-433b-b46d-a6cac81c039f.jpg?v=1732113532","Manar Mahmoud ","2024-12-23 13:10:58"
"44513","Vital Chiffon Scarf (Small Size)","10011020022017","31315793543460","shortage","1","ApricotOrange","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/8_2dcb0602-4aaa-4946-8680-8cfdc2234c8a.jpg?v=1732113516","Manar Mahmoud ","2024-12-23 13:10:58"
"44528","Light Gradient Cotton Scarf","60011010212001","31315918782756","hold","1","33","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/33_59643bac-7adf-40d5-87f6-7613ea06d1fb.jpg?v=1723979146","Toaa Aisem ","2024-12-23 13:11:22"
"44531","Easy Opened Wrap Scarf","10413098600297","31315949748516","hold","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Toaa Aisem ","2024-12-23 13:17:50"
"44565","Zebra Winter Shawl","60577170660300","31316492058916","hold","1","3","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/58_26d570c7-1277-40d4-8ae8-38bb9b852b85.jpg?v=1734876789","Toaa Aisem ","2024-12-23 13:44:44"
"44590","Matte Magnet Pin","60444142400100","31317125562660","hold","1","4","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_42c14fb6-adba-4e84-9092-4f6bd7d55fb4.jpg?v=1716890629","Toaa Aisem ","2024-12-23 14:50:06"
"44578","Burberry Check Shawl","60077174016901","31317013037348","hold","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/11_901409dc-03e1-4f34-b5e5-9e69d1b07ba3.jpg?v=1728989031","Manar Mahmoud ","2024-12-24 10:58:20"
"44620","Plain Viscose Isdal","57466016117100","31317291270436","hold","1","Olive / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_388e5c76-b2f8-4631-9d82-f17e1a1fb64e.jpg?v=1718105953","Hader Magdy","2024-12-24 12:09:16"
"44626","Tulip Turkish Clips","60444040121700","31317316337956","hold","2","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_f9ec9e5a-4a80-44ff-afa0-c5dba73a013c.jpg?v=1717325958","Hader Magdy","2024-12-24 11:39:06"
"44628","Plain Winter Shawl","60077074111213","31317359853860","hold","1","26","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/97_ef271706-e31a-42a5-be09-485a5ac776b5.jpg?v=1727554684","Hader Magdy","2024-12-24 12:04:17"
"44628","Plain Winter Shawl","60077074111122","31317359919396","hold","1","30","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/100_dab8e9b1-3ec5-4549-99d6-b80fe07f25ca.jpg?v=1727554687","Hader Magdy","2024-12-24 12:04:17"
"44628","Vibrant Winter Shawl","60077174009301","31317360050468","hold","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/172.jpg?v=1727614319","Hader Magdy","2024-12-24 12:04:18"
"44628","Zebra Winter Shawl","60577170660300","31317360083236","hold","1","3","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/58_26d570c7-1277-40d4-8ae8-38bb9b852b85.jpg?v=1734876789","Hader Magdy","2024-12-24 12:04:18"
"44638","Easy Opened Wrap Scarf","10413098600297","31317468971300","hold","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Toaa Aisem ","2024-12-24 12:09:20"
"44639","Easy Opened Wrap Scarf","10413098600297","31317475459364","hold","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Toaa Aisem ","2024-12-24 12:12:35"
"44641","Dots Winter Shawl","60077174006303","31317489942820","hold","1","White","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_089fe31c-0ad3-4547-b4ff-a7fdd4ee4d0d.jpg?v=1728988331","Toaa Aisem ","2024-12-24 12:19:00"
"44658","Zebra Winter Shawl","60577170660100","31317680357668","hold","1","1","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/56_af70c9a5-ea21-4933-9949-fdbaa50913e4.jpg?v=1734876789","Aya","2024-12-24 11:31:30"
"44665","Elegant Satin Isdal","57466073670100","31317784166692","hold","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_4429b475-6d3b-4be3-b6c1-935b796b89e3.jpg?v=1728926500","Aya","2024-12-24 11:49:06"
"44667","Plain Silk Square Scarf","10011140098022","31317806809380","hold","1","BlushPink","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_07230858-8bcb-41c7-8d46-e3e0032c93e1.jpg?v=1724060666","Aya","2024-12-24 12:14:37"
"44669","Easy Opened Wrap Scarf","10413098600297","31317820014884","hold","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Manar Mahmoud ","2024-12-24 12:31:34"
"44674","Easy Opened Wrap Scarf","10413098600297","31317858189604","hold","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Manar Mahmoud ","2024-12-24 12:08:42"
"44686","Fine Mini Ribbed Pullover","10090165812200","31318115483940","hold","1","Free Size / 7","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/7_5943e7e6-8fe1-4cb9-899f-dafb2ebfa4df.jpg?v=1727686112","Aya","2024-12-24 12:31:22"
"44707","Zig Zag Winter Shawl","60077174002306","31318468690212","hold","1","2","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/59_52338667-e238-4550-a59a-f0798b8ac606.jpg?v=1727368201","Toaa Aisem ","2024-12-24 12:58:08"
"44714","Cotton Crinkle Scarf","10413095913098","31318600352036","hold","1","Grey","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/14_a8e1457d-bd19-4e01-bd19-627bd1c5bb88.jpg?v=1728823988","Manar Mahmoud ","2024-12-24 14:12:36"
"44714","Lined Lycra Scarf","10011030810171","31318600778020","hold","1","Olive","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/18.png?v=1715848984","Manar Mahmoud ","2024-12-24 14:12:37"
"44714","Serenity Lycra Scarf","10413082021798","31318600941860","hold","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_adfec3bc-6260-46fb-a58f-de4f6f850c00.jpg?v=1732959052","Manar Mahmoud ","2024-12-24 14:12:37"
"44723","Easy Opened Wrap Scarf","10413098600297","31318759670052","hold","2","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Hader Magdy","2024-12-24 11:53:32"
"44724","Easy Opened Wrap Scarf","10413098600297","31318843228452","hold","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Hader Magdy","2024-12-24 11:59:34"
"44733","Matte Magnet Pin","60444142400100","31319264362788","hold","1","4","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_42c14fb6-adba-4e84-9092-4f6bd7d55fb4.jpg?v=1716890629","Manar Mahmoud ","2024-12-24 13:06:53"
"44733","Ordinary Pin (Pack of 5)","81444340212100","31319264461092","hold","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_ba2825e6-5f66-4ee9-ade7-62b3c602bb44.jpg?v=1719502011","Manar Mahmoud ","2024-12-24 13:06:54"
"44736","Easy Opened Wrap Scarf","10413098600297","31319290413348","hold","2","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Manar Mahmoud ","2024-12-24 12:18:51"
"44765","Easy Opened Wrap Scarf","10413098600297","31319644602660","hold","1","Offwhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_758bbc0a-8b9d-40f4-bfdd-1953a2826fa5.jpg?v=1729682492","Hader Magdy","2024-12-24 13:58:06"
"44456","Long Basic Pullover","76590190102800","31315142902052","hold","1","Cashmere / Free Size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_52257cc2-ba33-447c-bf84-78f49b563163.jpg?v=1734432229","Toaa Aisem ","2024-12-24 14:13:42"
